ID;Description
1;L'aile avant droite est rayée, mais après une inspection plus minutieuse, il semble que la rayure ne soit qu'une trace superficielle, sans dégradation de la peinture.
2;Choc avant : le capot est enfoncé, et les deux phares sont fissurés. La calandre est déformée au centre.
3;La portière arrière droite est légèrement enfoncée, mais je me rends compte qu'en fait elle est complètement déformée au niveau du bas de la porte.
4;Le phare avant gauche semble fêlé, mais il est plutôt légèrement opaque, comme s'il avait subi une érosion due au temps.
5;Ben, voilà, en fait, y'a eu une grosse collision, en plein face, genre bien frontal, avec un poteau, et là, c'est... euh, c'est pas joli, hein ! Le capot il est, euh, bien plié, mais genre vraiment plié, et, euh, le radiateur, il fuit, je crois. Et, le phare droit, ben, il est carrément cassé, quoi, ouais.
6;Le capot est déformé sur la moitié gauche après un choc frontal. Le pare-chocs avant est fissuré au centre, et les deux phares sont cassés.
7;La roue avant droite est endommagée, la jante est rayée et le pneu crevé. Le toit n'a aucun dommage.
8;Le pare-chocs avant a des éclats visibles, tandis que le toit et les portes arrière restent en parfait état.
9;Rayures profondes sur les portières côté conducteur. Le rétroviseur gauche est manquant, probablement arraché.
10;L'impact arrière a déformé le pare-chocs et cassé le feu arrière. Le pare-brise est indemne.
11;Le rétroviseur gauche est arraché.
12;Là, c’est carrément à l’arrière gauche du véhicule, hein, le pare-chocs il est bien déformé, genre bien plié, et la peinture elle est, ben, bien fissurée. C’est pas super grave mais faudra repasser à l’atelier pour réparer ça.
13;Choc latéral côté passager : la portière avant est enfoncée, et le bas de caisse est plié près de la roue avant droite.
14;Le coffre est enfoncé au centre, et le pare-chocs arrière est rayé sur le côté droit. Les feux arrière sont intacts. La plaque d’immatriculation est tordue.
15;La vitre avant droite est cassée, mais la carrosserie autour du pare-brise et du toit n’a pas souffert.
16;Rayures importantes sur les deux portières côté passager. Le bas de caisse droit est légèrement enfoncé près de la roue arrière. Le rétroviseur droit est cassé au niveau de la fixation.
17;La portière arrière droite est endommagée après un accrochage avec un autre véhicule. Le pare-chocs et le toit n'ont pas été affectés.
18;L’arrière gauche a bien pris, le pare-chocs arrière est déformé, il y a aussi une grosse rayure qui va du coffre jusqu'à l'aile arrière gauche. Et la vitre arrière est fissurée, on dirait qu’il faut tout changer.
19;Impact sur le côté droit : la portière avant droite est déformée, et la peinture est rayée près de la poignée. Le bas de caisse est intact.
20;Choc frontal violent : les deux phares sont cassés, et le radiateur est endommagé. Le capot est plié sur toute sa largeur.
21;La portière arrière gauche est enfoncée, mais les ailes avant sont indemnes et la fenêtre passager est intacte.
22;Le capot est légèrement bosselé à cause de la chute d’une branche. Les rétroviseurs et les portes avant sont intacts.
23;C’est un gros coup derrière, hein, le pare-chocs, il est écrasé, carrément éclaté, et la malle arrière, ben, elle s’ouvre plus, je crois que la serrure est... cassée. En plus, la peinture est toute abîmée, mais ça, c’est rien... c’est la carrosserie qui est vraiment touchée, là.
24;La portière côté passager présente une longue rayure après avoir été frottée contre un mur en béton.
25;Choc violent avec un autre véhicule. Les deux portières côté passager sont enfoncées et ne s’ouvrent plus. Dommages localisés à l’arrière et sur le côté passager.
26;Collision frontale avec un poteau. Capot plié, radiateur endommagé, et phare droit cassé.
27;Une pierre a cassé la vitre avant droite. La carrosserie est intacte, aucun autre dommage n’a été relevé.
28;Alors, pour résumer, on a un choc arrière, donc bah le pare-chocs, il est enfoncé, carrément cassé d'ailleurs, et le coffre, il ferme pas bien, je crois qu'il y a une pièce qui est dévissée à l’intérieur. Et y’a aussi une rayure qui traverse tout le côté gauche, mais ça, c’est pas grave, hein.
29;La portière avant gauche est enfoncée sur toute sa hauteur. Le bas de caisse présente une bosse sur 20 cm.
30;Ah, ouais, là c’est un dégât majeur. La portière avant est complètement écrasée, la peinture est partie sur un bon bout. Puis à l’arrière, faut changer le pare-chocs, la peinture est abîmée aussi, mais c’est pas grave. Par contre, l’aile gauche, c’est la cata, ça peut pas rester comme ça.
31;La portière avant droite est rayée et légèrement déformée. Les phares avant gauche sont intacts.
32;Bon, y'a eu un accrochage assez violent, la porte avant gauche est enfoncée avec une grosse rayure. Le pare-chocs avant est aussi bien abimé, on voit la peinture partagée et il manque un morceau sur le coin. Le rétroviseur droit a aussi pris un coup, il est cassé.
33;Choc arrière gauche : le feu arrière gauche est brisé, et le pare-chocs est rayé sur 40 cm. Le coffre est légèrement déformé.
34;La roue avant gauche est légèrement rayée, mais en fait, le pneu est également légèrement dégonflé suite à l'impact.
35;Le capot présente une bosse profonde au centre, et le phare droit est cassé. La peinture est écaillée autour de l’impact.
36;Le hayon arrière est déformé, mais après réévaluation, je constate que l'impact a créé une grande égratignure, sans déformation structurelle.
37;Choc latéral côté conducteur. Portière arrière enfoncée, peinture éclatée, pas de vitre cassée. Dommages localisés sur le côté gauche du véhicule.
38;La portière avant gauche est égratigné à hauteur de genoux.
39;La roue avant gauche est endommagée, mais en observant mieux, il s'avère que la jante est simplement éraflée, le pneu n’est pas touché.
40;Alors, euh, j’ai eu un accrochage avec un vélo, là, sur l’aile avant gauche, et la rayure, ben, elle est bien longue, pas super profonde, mais longue. Et, le phare gauche, il est, ben, fissuré, genre il peut plus éclairer correctement, donc faudra le remplacer aussi, ou réparer.
41;Le pare-chocs avant est rayé sur la face conducteur.
42;Le toit présente une bosse profonde après un impact avec un objet lourd. Le pare-brise est intact mais rayé légèrement.
43;Collision frontale : le pare-chocs avant est déformé, et les phares sont cassés. Le radiateur est en partie touché.
44;C'est... c'est bizarre, hein, le pare-chocs arrière, il a, euh, plein de rayures, là, sur toute la largeur, ouais, genre vraiment tout, et, euh, il est un peu déformé aussi, mais bon c'est pas, euh, super grave, sauf que, ben, l'ouverture du coffre est, ben, super compliquée, tu vois ?!
45;Impact latéral gauche : la portière avant est rayée, et le bas de caisse est plié. Le rétroviseur est suspendu par des câbles.
46;La portière avant gauche est enfoncée avec une longue rayure près de la poignée. La vitre avant gauche est fissurée dans l'angle supérieur. Le rétroviseur est arraché.
47;L'impact a laissé une bosse sur le capot, mais les rétroviseurs et les roues avant sont en bon état.
48;Le toit est bosselé sur une large surface à l’avant après la chute d’un arbre. Le pare-brise est fissuré sur toute sa largeur. Aucun autre dégât constaté.
49;Choc avant : le capot est déformé au niveau de l'aile droite. Les deux phares sont cassés, et la calandre est enfoncée.
50;La lunette arrière semble fissurée, mais après une inspection plus minutieuse, il semble que ce soit seulement une zone légèrement déformée par la chaleur.
51;Le coffre est rayé en profondeur, mais en y regardant à nouveau, je réalise que ce sont en fait de petites bosses sur la surface du coffre, pas des rayures.
52;Le véhicule a été heurté par l’arrière en stationnement à un feu. Pare-chocs arrière endommagé, peinture éclatée sur toute la largeur du pare-chocs.
53;Une fissure dans le pare-brise et une bosse sur l'aile arrière droite, mais les rétroviseurs et les feux arrière sont en bon état.
